Brand,Product Name,Price (HKD),Image,Detail Image
ESPOIR,Blur Wear Blush,125,https://img.ssgdfs.com/upload/C00001/goos/org/529/260304001067529.jpg?SF=webp&AR=0,
ESPOIR,Fitting Sponge Handy 4EA,80,https://img.ssgdfs.com/upload/C00001/goos/org/868/240812000599868.jpg?SF=webp&AR=0,
ESPOIR,★ 2025 RENEWAL BE VELVET COVER CUSHION (MAIN PRODUCT + REFILL),180,https://static.lottedfs.cn/prod/prd-img/88/57/29/01/00/02/20001295788_1.jpg/dims/resize/460x460,
GLOW,breathable BB cream 30ml,160,https://img.ssgdfs.com/upload/C00001/goos/org/126/250722000876126.jpg?SF=webp&AR=0,
GLOW,not dry concealer 10g,130,https://img.ssgdfs.com/upload/C00001/goos/org/857/251223001006857.jpg?SF=webp&AR=0,
GLOW,shattered glass glitter 3.5g,115,https://img.ssgdfs.com/upload/C00001/goos/org/140/250722000876140.jpg?SF=webp&AR=0,
GLOW,Seasoning Highlighter 3.3g x 3ea,270,https://img.ssgdfs.com/upload/C00001/goos/org/940/250826000908940.jpg?SF=webp&AR=0,
GLOW,peach peptide lip balm,115,https://img.ssgdfs.com/upload/C00001/goos/org/772/251201000994772.jpg?SF=webp&AR=0,
GLINT,BAKED BLUSH,115,https://image2.shilladutyfree.cn/files/product2/2026/02/24/971311000015_20260224_15203504_12_971311000015_1.JPG,
GLINT,STICK HIGHLIGHTER,125,https://image1.shilladfs.com/files/product2/2026/02/24/971311000006_20260224_15193353_12_971311000006_1.JPG,
GLINT,GLINT.TOO SHINY,115,https://image2.shilladutyfree.cn/files/product2/2026/02/24/971311000019_20260224_15181776_12_971311000019_1.JPG,
VDL,TONE STAIN COLOR CORRECTING (4 Colors),125,https://image2.shilladutyfree.cn/files/product2/2026/01/15/672811001368_20260115_10061466_12_672811001368_1.JPG,
VDL,ROSE PDRN PREP BASE 40ML,135,https://image1.shilladfs.com/files/product2/2026/01/21/672811001460_20260121_19182204_12_672811001460_1.JPG,
VDL,COVER STAIN HIGH COVER CUSHION (no refill),150,https://image2.shilladfs.com/files/product2/2026/01/20/672811001454_20260120_15471592_12_672811001454_1.JPG,
VDL,COVER STAIN PERFECTING FOUNDATION,140,https://image1.shilladfs.com/files/product2/2026/01/15/672811001376_20260115_10050152_12_672811001376_1.JPG,
VDL,CHEEK STAIN BLUSHER ,99,https://image1.shilladfs.com/files/product2/2026/01/15/672811001443_20260115_10033371_12_672811001443_1.JPG,
VDL,PERFECTING SUN BASE TONE UP 40ML,110,https://image1.shilladfs.com/files/product2/2026/01/15/672810000134_20260115_10055727_12_672810000134_1.JPG,
VDL,COVER STAIN PERFECTING CONCEALER ,65,https://image2.shilladfs.com/files/product2/2026/01/27/672811001459_20260127_17402655_12_672811001459_6.JPG,
VDL,PERFECTING SUN BASE WATERY 40ML,110,https://image2.shilladfs.com/files/product2/2026/01/15/672810000133_20260115_10062610_12_672810000133_1.JPG,
VDL,CHEEKSTAIN LIQUID BLUSHER 0,80,https://image2.shilladfs.com/files/product2/2026/04/13/672811001465_20260413_10125155_12_672811001465_1.JPG,
VDL,EXPERT FIT FOUNDATION ,165,https://image2.shilladfs.com/files/product2/2026/01/15/672811001414_20260115_09573547_12_672811001414_1.JPG,
VDL,TONE STAIN COLOR CORRECTING CUSHION SERENITY,125,https://image1.shilladfs.com/files/product2/2026/01/20/672811001425_20260120_15474431_12_672811001425_1.JPG,
VDL,STAIN PERFECTING CUSHION (no refill),150,https://image2.shilladfs.com/files/product2/2026/01/15/672811001392_20260115_10030646_12_672811001392_1.JPG,
YUNJAC,SKIN PERFECTING PROTECTIVE BASE PREP,195,https://image1.shilladfs.com/files/product2/2026/04/29/782211000020_20260429_14101701_07_782211000020_1.JPG,
YUNJAC,SKIN PERFECTING PROTECTIVE BASE PREP SILENT VELVET 25ml,180,https://static.lottedfs.cn/prod/prd-img/20/76/41/01/00/02/20001417620_2.webp/dims/resize/400x400,
YUNJAC,SKIN PERFECTING PROTECTIVE BASE PREP PEARL ECHO 25ml,180,https://static.lottedfs.cn/prod/prd-img/21/76/41/01/00/02/20001417621_2.webp/dims/resize/460x460,
YUNJAC,SKIN PERFECTING GLOW UP PREP WATER 50 ML,195,https://static.lottedfs.cn/prod/prd-img/77/08/28/01/00/02/20001280877_2.jpg/dims/resize/400x400,
YUNJAC,SKIN PERFECTING PREP SUN SERUM 55ml,180,https://static.lottedfs.cn/prod/prd-img/33/41/42/01/00/02/20001424133_1.webp/dims/resize/400x400,
